Name,OOS,,Total Verses,Verses to Sing,Familiarity,Service Index,Key,NVB,SSH,MAJ,NVR,Date of Most Recent Use,First Line,Notes,ID,Blood,Christmas,Cross,Easter,Grace,Heaven,Holy Spirit,Invitation,Missions,Patriotic,Prayer,Salvation,Second Coming,Bible,Calvary,Great Hymns,Service,Thanksgiving,Assurance,Christian Warfare,Comfort & Guidance,Consecration,Consolation,Faith & Trust,Joy & Singing,Love,Praise,Resurrection,Soul Winning & Service,Testimony,Lyrics,Log,Words,Music
O for a Thousand Tongues to Sing,"1, 3, 5","158 | ""O for a Thousand Tongues to Sing"" (48) [5]",5,"1, 3, 5",,3/4,A,48,158,,,,O for a thousand tongues to sing,?,1048,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,Charles Wesley,
Jesus (He Is the Son of God),"All: 1, 2, 3","NVB | ""Jesus (He Is the Son of God)"" (49) [3]",3,"All: 1, 2, 3",,3/4,Db,49,,,,,Who was it that the prophets said would come,,1049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Danny Stutzman,
Jesus Is the Joy of Living,"1, 2, 4","NVB | ""Jesus Is the Joy of Living"" (50) [4]",4,"1, 2, 4",,3/4,C,50,,,199,,I have found a wondrous Savior,,1050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rev. A. H. Ackley,
Fairest Lord Jesus,"1, 2, 4","459 | ""Fairest Lord Jesus"" (51) [4]",4,"1, 2, 4",,1A,F,51,459,162,503,,Fairest Lord Jesus!,,1051,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,from Munster Gesangbuch,
Jesus Is Precious,"All: 1, 2, 3","NVB | ""Jesus Is Precious"" (52) [3]",3,"All: 1, 2, 3",,3/4,G,52,,,,,Peace like a river is flooding my soul,,1052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bennue S. Triplett,
Our Great Saviour,"1, 2, 5","161 | ""Our Great Saviour"" (53) [5]",5,"1, 2, 5",,2,G,53,161,177,309,,Jesus! what a Friend for sinners!,,1053,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,J. Wilbur Chapman,
Give Him the Glory (Labouve),"All: 1, 2","NVB | ""Give Him the Glory (Labouve)"" (54) [2]",2,"All: 1, 2",,3/4,C,54,,,,,"I was once a sinner, far away from God",,1054,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,Kurt Labouve,
He Is Mine,"All: 1, 2","NVB | ""He Is Mine"" (55) [2]",2,"All: 1, 2",,1C,G,55,,,11,,Every day I’m leaning on my Savior,,1055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Diane Wilkinson,
Tell Me the Story of Jesus,"All: 1, 2, 3","232 | ""Tell Me the Story of Jesus"" (56) [3]",3,"All: 1, 2, 3",,3/4,Eb,56,232,159,354,,Tell me the story of Jesus,,1056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,Fanny J. Crosby,
The Name of Jesus,"1, 2, 4","98 | ""The Name of Jesus"" (57) [4]",4,"1, 2, 4",,3/4,C,57,98,,509,,The name of Jesus is so sweet,,1057,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,W. C. Martin,
And Can It Be?,"All: 1, 2, 3","24 | ""And Can It Be?"" (58) [3]",3,"All: 1, 2, 3",,1B,Ab,58,24,134,502,,And can it be that I should gain,,1058,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,Charles Wesley,
For the Beauty of the Earth,"1, 2, 4","NVB | ""For the Beauty of the Earth"" (59) [4]",4,"1, 2, 4",,3/4,Ab,59,,492,,,For the beauty of the earth,,1059,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,Folliott S. Pierpoint,
He Went About Doing Good,"All: 1, 2","NVB | ""He Went About Doing Good"" (60) [2]",2,"All: 1, 2",,3/4,F,60,,,194,,My Savior’s life was simple here,,1060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,John W. Peterson,
I Have Never Lost the Wonder of It All,"All: 1, 2","NVB | ""I Have Never Lost the Wonder of It All"" (61) [2]",2,"All: 1, 2",,3/4,C,61,,,487,,I have seen the morning sun climb up the sky,,1061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alfred B Smith,
"O God, Our Help","1, 3, 5","122 | ""O God, Our Help"" (62) [5]",5,"1, 3, 5",,2,Ab,62,122,96,384,,"O God, our help in ages past",,1062,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,Isaac Watts,
What a Savior,"All: 1, 2, 3","NVB | ""What a Savior"" (63) [3]",3,"All: 1, 2, 3",,3/4,Db,63,,,532,,Once I was straying in sin’s dark valley,,1063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Marvin P. Dalton,
Fill Me Now,"1, 2, 4","347 | ""Fill Me Now"" (64) [4]",4,"1, 2, 4",,3/4,G,64,347,,179,,"Hover o'er me, Holy Spirit",,1064,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,Eldwood H. Stokes,
The Comforter Has Come,"1, 2, 4","349 | ""The Comforter Has Come"" (65) [4]",4,"1, 2, 4",,3/4,C,65,349,,369,,"O spread the tidings 'round, wherever man is found",,1065,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,Frank Bottome,
Spirit of the Living God,Chorus 2x,"344 | ""Spirit of the Living God"" (66) [C]",C,Chorus 2x,,,F,66,344,41,110,,"Spirit of the living God, fall fresh on me",,1066,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,Daniel Iverson,
"Sweet, Sweet Spirit","All: 1, 2","NVB | ""Sweet, Sweet Spirit"" (67) [2]",2,"All: 1, 2",,3/4,G,67,,,21,,"There’s a sweet, sweet Spirit in this place",,1067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Doris Akers,
A Very Special Grace,"All: 1, 2","NVB | ""A Very Special Grace"" (68) [2]",2,"All: 1, 2",,3/4,C,68,,,,,I’ve seen the sun come up,,1068,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ake Davis & Ray Heady,
Channels Only,"1, 2, 4","332 | ""Channels Only"" (69) [4]",4,"1, 2, 4",,3/4,Ab,69,332,550,496,,"How I praise Thee, precious Saviour",,1069,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,Mary E. Maxwell,
"Open My Eyes, That I May See","All: 1, 2, 3","312 | ""Open My Eyes, That I May See"" (70) [3]",3,"All: 1, 2, 3",,3/4,Ab,70,312,401,307,,"Open my eyes, that I may see",,1070,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,Clara H. Scott,
Cleanse Me,"1, 2, 4","471 | ""Cleanse Me"" (71) [4]",4,"1, 2, 4",,3/4,F,71,471,,534,,"Search me, O God, and know my heart today",,1071,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,J. Edwin Orr,
